Participant-ID,Type,First-Name,Last-Name,Email,Perc_Effort,Attendance,Perc_Academic,CompleteYears,House
32477,Participant,Walter,Kim,Walter.Kim@school.edu,53,100,35,0,Phoenix
32474,Participant,Cameron,Cox,Cameron.Cox@school.edu,4,89,16,1,Falcon
32493,Participant,Luke,Phillips,Luke.Phillips@school.edu,66,94,76,6,Vanguard
32413,Participant,Nikolai,Weeks,Nikolai.Weeks@school.edu,33,100,19,9,Falcon
32459,Participant,Zander,Buchanan,Zander.Buchanan@school.edu,38,98,64,9,Astral
32534,Participant,Liam,Smith,Liam.Smith@school.edu,41,98,32,8,Redwood
32527,Participant,Bruce,Malone,Bruce.Malone@school.edu,53,64,56,0,Griffin
32532,Participant,Caleb,Turner,Caleb.Turner@school.edu,77,98,57,1,Redwood
32399,Participant,Damon,Banks,Damon.Banks@school.edu,30,54,77,9,Astral
32409,Participant,Winston,Bruce,Winston.Bruce@school.edu,39,100,77,4,Vanguard
32475,Participant,Chance,Wallace,Chance.Wallace@school.edu,27,100,69,9,Astral
32462,Participant,Noah,Johnson,Noah.Johnson@school.edu,53,93,50,0,Falcon
32498,Participant,Simon,Cline,Simon.Cline@school.edu,53,98,32,0,Griffin
32458,Participant,Jeremiah,Myers,Jeremiah.Myers@school.edu,53,97,28,0,Astral
32404,Participant,Greyson,Ross,Greyson.Ross@school.edu,53,95,54,0,Astral
32517,Participant,Tobias,Tanner,Tobias.Tanner@school.edu,93,98,78,1,Falcon
32401,Participant,Isaac,Walker,Isaac.Walker@school.edu,53,98,42,0,Vanguard
32504,Participant,Tucker,Campos,Tucker.Campos@school.edu,34,100,13,9,Phoenix
32448,Participant,Zayden,Coleman,Zayden.Coleman@school.edu,25,88,70,9,Astral
32522,Participant,Dennis,Lutz,Dennis.Lutz@school.edu,35,98,77,9,Redwood
32509,Participant,Ezekiel,Gonzales,Ezekiel.Gonzales@school.edu,53,100,48,0,Redwood
32397,Participant,Carlos,Torres,Carlos.Torres@school.edu,85,86,77,7,Astral
32523,Participant,Elliot,Hayes,Elliot.Hayes@school.edu,67,100,59,8,Griffin
32512,Participant,Malik,Cortez,Malik.Cortez@school.edu,62,90,53,4,Phoenix
32455,Participant,Lawrence,Cervantes,Lawrence.Cervantes@school.edu,65,73,19,2,Redwood
32489,Participant,Ronald,Salazar,Ronald.Salazar@school.edu,77,95,83,4,Griffin
32432,Participant,William,Thomas,William.Thomas@school.edu,80,97,66,7,Vanguard
32476,Participant,Bennett,Sullivan,Bennett.Sullivan@school.edu,93,100,84,8,Phoenix
32516,Participant,Axel,Griffin,Axel.Griffin@school.edu,21,100,42,8,Redwood
32467,Participant,Malcolm,Knox,Malcolm.Knox@school.edu,29,80,36,8,Falcon
32408,Participant,Jonathan,Evans,Jonathan.Evans@school.edu,56,99,47,8,Falcon
32420,Participant,Levi,Mitchell,Levi.Mitchell@school.edu,97,62,93,7,Vanguard
32497,Participant,Colton,Henderson,Colton.Henderson@school.edu,53,100,67,0,Redwood
32515,Participant,Caleb,Davis,Caleb.Davis@school.edu,53,99,31,0,Falcon
32429,Participant,Charles,Diaz,Charles.Diaz@school.edu,14,100,9,4,Phoenix
32415,Participant,Silas,Jenkins,Silas.Jenkins@school.edu,17,100,16,1,Falcon
32435,Participant,Barrett,Gibson,Barrett.Gibson@school.edu,74,100,78,2,Griffin
32405,Participant,Patrick,Olsen,Patrick.Olsen@school.edu,63,97,11,4,Falcon
32392,Participant,Richard,Harrington,Richard.Harrington@school.edu,87,100,60,1,Redwood
32495,Participant,Blake,Sanders,Blake.Sanders@school.edu,27,99,36,2,Phoenix
32427,Participant,Enzo,Espinoza,Enzo.Espinoza@school.edu,53,100,72,0,Redwood
32421,Participant,Sterling,Hickman,Sterling.Hickman@school.edu,66,98,66,5,Astral
32422,Participant,Jack,Lopez,Jack.Lopez@school.edu,69,100,65,5,Astral
32500,Participant,Michael,Jackson,Michael.Jackson@school.edu,6,96,79,2,Astral
32403,Participant,Miguel,Jordan,Miguel.Jordan@school.edu,53,97,24,0,Griffin
32557,Participant,Bryce,Montgomery,Bryce.Montgomery@school.edu,42,55,53,5,Falcon
32499,Participant,Raphael,Barron,Raphael.Barron@school.edu,74,89,88,2,Griffin
32433,Participant,Ryan,Hall,Ryan.Hall@school.edu,53,100,47,0,Phoenix
32402,Participant,Jaxon,Morris,Jaxon.Morris@school.edu,30,89,34,2,Redwood
32491,Participant,Logan,Lewis,Logan.Lewis@school.edu,72,98,36,4,Griffin
32453,Participant,Braxton,Warren,Braxton.Warren@school.edu,53,98,65,0,Astral
32530,Participant,Evan,Sanchez,Evan.Sanchez@school.edu,53,100,44,0,Phoenix
32544,Participant,Jason,Bailey,Jason.Bailey@school.edu,70,90,19,2,Redwood
32508,Participant,Tristan,James,Tristan.James@school.edu,53,89,55,0,Vanguard
32407,Participant,Austin,Foster,Austin.Foster@school.edu,53,100,56,0,Redwood
32565,Participant,Carter,Baker,Carter.Baker@school.edu,82,57,74,2,Redwood
32529,Participant,Bentley,Price,Bentley.Price@school.edu,24,93,45,4,Astral
32457,Participant,Lorenzo,Woods,Lorenzo.Woods@school.edu,39,98,70,4,Griffin
32545,Participant,Axel,Bennett,Axel.Bennett@school.edu,4,97,21,4,Phoenix
32492,Participant,Marcellus,Tovar,Marcellus.Tovar@school.edu,53,70,31,0,Astral
32406,Participant,Eli,Collins,Eli.Collins@school.edu,10,98,7,4,Griffin
32479,Participant,Mason,Wilson,Mason.Wilson@school.edu,65,91,25,4,Griffin
32490,Participant,Caden,Novak,Caden.Novak@school.edu,83,100,89,2,Redwood
32513,Participant,Tucker,Castro,Tucker.Castro@school.edu,92,99,67,2,Falcon
32480,Participant,Donovan,Steele,Donovan.Steele@school.edu,8,98,22,1,Redwood
32546,Participant,Gabriel,Lee,Gabriel.Lee@school.edu,88,100,42,1,Astral
32535,Participant,James,Anderson,James.Anderson@school.edu,53,92,NA,0,Vanguard
32456,Participant,Jorge,Fox,Jorge.Fox@school.edu,53,59,63,0,Falcon
32551,Participant,Christopher,Clark,Christopher.Clark@school.edu,53,98,54,0,Astral
32446,Participant,Zane,Pena,Zane.Pena@school.edu,72,59,89,3,Vanguard
32451,Participant,Leo,Adams,Leo.Adams@school.edu,53,94,57,0,Falcon
32425,Participant,Atticus,Osborne,Atticus.Osborne@school.edu,19,58,27,1,Astral
32471,Participant,Sawyer,Butler,Sawyer.Butler@school.edu,10,82,7,3,Falcon
32528,Participant,Dominic,Barnes,Dominic.Barnes@school.edu,82,100,65,2,Phoenix
32487,Participant,Iker,Fisher,Iker.Fisher@school.edu,40,100,78,2,Griffin
32466,Participant,Miles,Watson,Miles.Watson@school.edu,0,98,37,0,Griffin
32468,Participant,Easton,Bell,Easton.Bell@school.edu,88,100,95,3,Redwood
32414,Participant,Marcus,Hughes,Marcus.Hughes@school.edu,20,98,6,2,Vanguard
32483,Participant,Alexander,Taylor,Alexander.Taylor@school.edu,76,58,27,3,Griffin
32418,Participant,Cooper,Kelly,Cooper.Kelly@school.edu,53,96,55,0,Phoenix
32394,Participant,Jeremiah,Murphy,Jeremiah.Murphy@school.edu,53,89,65,0,Redwood
32431,Participant,Tate,Peck,Tate.Peck@school.edu,53,100,45,0,Phoenix
32411,Participant,Wesley,Long,Wesley.Long@school.edu,17,100,46,2,Redwood
32501,Participant,Harrison,Howard,Harrison.Howard@school.edu,74,100,97,2,Vanguard
32558,Participant,Daniel,White,Daniel.White@school.edu,34,57,41,2,Falcon
32424,Participant,Gideon,Shea,Gideon.Shea@school.edu,53,68,NA,0,Phoenix
32533,Participant,David,Garcia,David.Garcia@school.edu,53,98,62,0,Phoenix
32547,Participant,David,Parker,David.Parker@school.edu,27,57,28,2,Astral
32430,Participant,Cassian,Jarvis,Cassian.Jarvis@school.edu,53,98,43,0,Vanguard
32564,Participant,Victor,Hodge,Victor.Hodge@school.edu,5,63,NA,1,Redwood
32537,Participant,Maxwell,Richardson,Maxwell.Richardson@school.edu,7,72,10,2,Phoenix
32441,Participant,Mateo,Ramirez,Mateo.Ramirez@school.edu,5,88,40,2,Griffin
32555,Participant,Gabriel,Gray,Gabriel.Gray@school.edu,53,98,34,0,Phoenix
32442,Participant,Lucas,Robinson,Lucas.Robinson@school.edu,70,100,48,2,Griffin
32472,Participant,Jasper,Luna,Jasper.Luna@school.edu,1,79,25,2,Astral
32396,Participant,Christian,Campbell,Christian.Campbell@school.edu,53,59,34,0,Vanguard
32560,Participant,Oliver,Jones,Oliver.Jones@school.edu,53,84,33,0,Griffin
32525,Participant,Hayden,West,Hayden.West@school.edu,22,97,18,2,Vanguard
32419,Participant,Ethan,Williams,Ethan.Williams@school.edu,26,99,31,2,Phoenix
32452,Participant,Chandler,Parks,Chandler.Parks@school.edu,6,97,2,2,Astral
32416,Participant,Killian,Kent,Killian.Kent@school.edu,53,99,60,0,Falcon
32434,Participant,Hendrix,Huff,Hendrix.Huff@school.edu,53,92,48,0,Redwood
32438,Participant,Hunter,Roberts,Hunter.Roberts@school.edu,11,98,38,1,Phoenix
32426,Participant,Emmanuel,Chambers,Emmanuel.Chambers@school.edu,53,92,28,0,Vanguard
32563,Participant,Thomas,Carter,Thomas.Carter@school.edu,53,97,79,0,Astral
32519,Participant,Cole,Stewart,Cole.Stewart@school.edu,53,94,51,0,Vanguard
32543,Participant,Oscar,Reynolds,Oscar.Reynolds@school.edu,53,97,41,0,Redwood
32521,Participant,Isaac,Nelson,Isaac.Nelson@school.edu,53,83,80,0,Vanguard
32526,Participant,Jude,Graham,Jude.Graham@school.edu,21,100,86,1,Vanguard
32561,Participant,Phillip,Lozano,Phillip.Lozano@school.edu,53,95,55,0,Griffin
32391,Participant,Graham,Glenn,Graham.Glenn@school.edu,73,76,74,1,Vanguard
32542,Participant,Lucian,Wu,Lucian.Wu@school.edu,53,98,57,0,Redwood
32393,Participant,Spencer,Woodward,Spencer.Woodward@school.edu,6,98,5,1,Vanguard
32496,Participant,Zayn,Gould,Zayn.Gould@school.edu,53,93,42,0,Falcon
32464,Participant,Cole,Brooks,Cole.Brooks@school.edu,53,100,62,0,Vanguard
32488,Participant,Tyson,Bush,Tyson.Bush@school.edu,53,98,34,0,Redwood
32562,Participant,Sebastian,Gonzalez,Sebastian.Gonzalez@school.edu,53,98,77,0,Astral
32518,Participant,Maximus,Cole,Maximus.Cole@school.edu,53,83,NA,0,Griffin
32502,Participant,Matthew,Martin,Matthew.Martin@school.edu,53,98,47,0,Phoenix
32410,Participant,River,Ellis,River.Ellis@school.edu,53,100,51,0,Griffin
32506,Participant,Dominic,Rogers,Dominic.Rogers@school.edu,53,94,75,0,Falcon
32412,Participant,Lucius,Franco,Lucius.Franco@school.edu,53,100,77,0,Falcon
32539,Participant,Adrian,Cook,Adrian.Cook@school.edu,53,99,79,0,Phoenix
32510,Participant,Damian,Harrison,Damian.Harrison@school.edu,53,100,75,0,Redwood
32469,Participant,Benjamin,Miller,Benjamin.Miller@school.edu,84,100,75,1,Vanguard
32548,Participant,Anders,Crosby,Anders.Crosby@school.edu,53,97,76,0,Griffin
32507,Participant,Aiden,Brown,Aiden.Brown@school.edu,53,74,46,0,Phoenix
32536,Participant,Brody,Flores,Brody.Flores@school.edu,53,98,80,0,Falcon
32524,Participant,Flynn,Stuart,Flynn.Stuart@school.edu,53,89,78,0,Falcon
32482,Participant,Andrew,Martinez,Andrew.Martinez@school.edu,53,97,81,0,Falcon
32481,Participant,Elias,Cooper,Elias.Cooper@school.edu,53,71,71,0,Falcon
32439,Participant,Chase,Wood,Chase.Wood@school.edu,53,100,79,0,Griffin
32461,Participant,Dylan,Scott,Dylan.Scott@school.edu,53,59,52,0,Griffin
32559,Participant,Anthony,Hill,Anthony.Hill@school.edu,53,56,54,0,Redwood
32398,Participant,Titus,Serrano,Titus.Serrano@school.edu,53,97,60,0,Vanguard
32460,Participant,Ignatius,Gaines,Ignatius.Gaines@school.edu,53,91,NA,0,Astral
32520,Participant,Owen,Hernandez,Owen.Hernandez@school.edu,53,100,44,0,Redwood
32450,Participant,Kingston,Hamilton,Kingston.Hamilton@school.edu,53,100,79,0,Falcon
32538,Participant,Julian,King,Julian.King@school.edu,53,90,47,0,Astral
32454,Participant,Leo,Brewer,Leo.Brewer@school.edu,66,91,48,0,Phoenix
32554,Participant,Kieran,Pruitt,Kieran.Pruitt@school.edu,53,100,64,0,Astral
32447,Participant,Henry,Wright,Henry.Wright@school.edu,53,94,48,0,Phoenix
32423,Participant,Jesse,Hawkins,Jesse.Hawkins@school.edu,53,56,29,0,Redwood
32486,Participant,Jaxson,Washington,Jaxson.Washington@school.edu,53,69,39,0,Vanguard
32449,Participant,Jonah,Russell,Jonah.Russell@school.edu,53,100,53,0,Redwood
32465,Participant,Nolan,Morgan,Nolan.Morgan@school.edu,53,92,NA,0,Phoenix
32503,Participant,Thaddeus,Noble,Thaddeus.Noble@school.edu,53,83,NA,0,Griffin
32552,Participant,Jett,Nguyen,Jett.Nguyen@school.edu,53,92,NA,0,Astral
32473,Participant,Cole,Ward,Cole.Ward@school.edu,53,100,77,0,Astral
